         energy		  r2	  r1	 c	    t	 calculated?	  converged?
 1000000.000000		0001	0001	01	00001	           N	           N
 1000000.000000		0002	0001	01	00001	           N	           N
 1000000.000000		0003	0001	01	00001	           N	           N
 1000000.000000		0004	0001	01	00001	           N	           N
 1000000.000000		0005	0001	01	00001	           N	           N
 1000000.000000		0001	0002	01	00001	           N	           N
 1000000.000000		0002	0002	01	00001	           N	           N
 1000000.000000		0003	0002	01	00001	           Y	           N
 1000000.000000		0004	0002	01	00001	           N	           N
 1000000.000000		0005	0002	01	00001	           N	           N
 1000000.000000		0001	0003	01	00001	           N	           N
 1000000.000000		0002	0003	01	00001	           N	           N
 1000000.000000		0003	0003	01	00001	           N	           N
 1000000.000000		0004	0003	01	00001	           Y	           N
 1000000.000000		0005	0003	01	00001	           N	           N
 1000000.000000		0001	0004	01	00001	           N	           N
 1000000.000000		0002	0004	01	00001	           N	           N
 1000000.000000		0003	0004	01	00001	           N	           N
 1000000.000000		0004	0004	01	00001	           N	           N
 1000000.000000		0005	0004	01	00001	           N	           N
 1000000.000000		0001	0001	02	00001	           N	           N
 1000000.000000		0002	0001	02	00001	           N	           N
 1000000.000000		0003	0001	02	00001	           N	           N
 1000000.000000		0004	0001	02	00001	           N	           N
 1000000.000000		0005	0001	02	00001	           N	           N
 1000000.000000		0001	0002	02	00001	           N	           N
 1000000.000000		0002	0002	02	00001	           N	           N
 1000000.000000		0003	0002	02	00001	           N	           N
 1000000.000000		0004	0002	02	00001	           N	           N
 1000000.000000		0005	0002	02	00001	           N	           N
 1000000.000000		0001	0003	02	00001	           N	           N
 1000000.000000		0002	0003	02	00001	           N	           N
 1000000.000000		0003	0003	02	00001	           N	           N
 1000000.000000		0004	0003	02	00001	           N	           N
 1000000.000000		0005	0003	02	00001	           N	           N
 1000000.000000		0001	0004	02	00001	           N	           N
 1000000.000000		0002	0004	02	00001	           N	           N
 1000000.000000		0003	0004	02	00001	           N	           N
 1000000.000000		0004	0004	02	00001	           N	           N
 1000000.000000		0005	0004	02	00001	           N	           N
 1000000.000000		0001	0001	01	00002	           N	           N
 1000000.000000		0002	0001	01	00002	           N	           N
 1000000.000000		0003	0001	01	00002	           N	           N
 1000000.000000		0004	0001	01	00002	           N	           N
 1000000.000000		0005	0001	01	00002	           N	           N
 1000000.000000		0001	0002	01	00002	           N	           N
 1000000.000000		0002	0002	01	00002	           N	           N
 1000000.000000		0003	0002	01	00002	           N	           N
 1000000.000000		0004	0002	01	00002	           N	           N
 1000000.000000		0005	0002	01	00002	           N	           N
   26255.000000		0001	0003	01	00002	           Y	           Y
 1000000.000000		0002	0003	01	00002	           N	           N
 1000000.000000		0003	0003	01	00002	           N	           N
 1000000.000000		0004	0003	01	00002	           N	           N
 1000000.000000		0005	0003	01	00002	           N	           N
 1000000.000000		0001	0004	01	00002	           N	           N
 1000000.000000		0002	0004	01	00002	           N	           N
 1000000.000000		0003	0004	01	00002	           N	           N
 1000000.000000		0004	0004	01	00002	           N	           N
 1000000.000000		0005	0004	01	00002	           N	           N
 1000000.000000		0001	0001	02	00002	           N	           N
 1000000.000000		0002	0001	02	00002	           N	           N
 1000000.000000		0003	0001	02	00002	           N	           N
 1000000.000000		0004	0001	02	00002	           N	           N
 1000000.000000		0005	0001	02	00002	           N	           N
 1000000.000000		0001	0002	02	00002	           N	           N
 1000000.000000		0002	0002	02	00002	           N	           N
 1000000.000000		0003	0002	02	00002	           N	           N
 1000000.000000		0004	0002	02	00002	           N	           N
 1000000.000000		0005	0002	02	00002	           N	           N
 1000000.000000		0001	0003	02	00002	           Y	           N
 1000000.000000		0002	0003	02	00002	           N	           N
 1000000.000000		0003	0003	02	00002	           N	           N
 1000000.000000		0004	0003	02	00002	           N	           N
 1000000.000000		0005	0003	02	00002	           N	           N
 1000000.000000		0001	0004	02	00002	           N	           N
 1000000.000000		0002	0004	02	00002	           N	           N
 1000000.000000		0003	0004	02	00002	           N	           N
 1000000.000000		0004	0004	02	00002	           N	           N
 1000000.000000		0005	0004	02	00002	           N	           N
 1000000.000000		0001	0001	01	00003	           N	           N
 1000000.000000		0002	0001	01	00003	           N	           N
 1000000.000000		0003	0001	01	00003	           N	           N
 1000000.000000		0004	0001	01	00003	           N	           N
 1000000.000000		0005	0001	01	00003	           N	           N
 1000000.000000		0001	0002	01	00003	           N	           N
 1000000.000000		0002	0002	01	00003	           N	           N
 1000000.000000		0003	0002	01	00003	           N	           N
 1000000.000000		0004	0002	01	00003	           N	           N
 1000000.000000		0005	0002	01	00003	           N	           N
 1000000.000000		0001	0003	01	00003	           N	           N
 1000000.000000		0002	0003	01	00003	           N	           N
 1000000.000000		0003	0003	01	00003	           N	           N
 1000000.000000		0004	0003	01	00003	           N	           N
 1000000.000000		0005	0003	01	00003	           N	           N
 1000000.000000		0001	0004	01	00003	           N	           N
 1000000.000000		0002	0004	01	00003	           N	           N
 1000000.000000		0003	0004	01	00003	           N	           N
 1000000.000000		0004	0004	01	00003	           N	           N
 1000000.000000		0005	0004	01	00003	           N	           N
 1000000.000000		0001	0001	02	00003	           N	           N
 1000000.000000		0002	0001	02	00003	           N	           N
 1000000.000000		0003	0001	02	00003	           N	           N
 1000000.000000		0004	0001	02	00003	           N	           N
 1000000.000000		0005	0001	02	00003	           N	           N
 1000000.000000		0001	0002	02	00003	           N	           N
 1000000.000000		0002	0002	02	00003	           N	           N
 1000000.000000		0003	0002	02	00003	           N	           N
 1000000.000000		0004	0002	02	00003	           N	           N
 1000000.000000		0005	0002	02	00003	           N	           N
 1000000.000000		0001	0003	02	00003	           N	           N
 1000000.000000		0002	0003	02	00003	           N	           N
 1000000.000000		0003	0003	02	00003	           N	           N
 1000000.000000		0004	0003	02	00003	           N	           N
 1000000.000000		0005	0003	02	00003	           N	           N
 1000000.000000		0001	0004	02	00003	           N	           N
 1000000.000000		0002	0004	02	00003	           N	           N
 1000000.000000		0003	0004	02	00003	           N	           N
 1000000.000000		0004	0004	02	00003	           N	           N
 1000000.000000		0005	0004	02	00003	           N	           N
